"Distance","Width","ID","MT"
"233","10","5.5422580497669","1013.2724550898"
"278","11","5.6595094540862","977.9371257485"
"263","12","5.4539564885711","984.51497005988"
"260","12","5.4374053123073","958.58083832335"
"280","14","5.3219280948874","953.09281437126"
"255","14","5.1869985148013","891.84431137725"
"296","14","5.4020984435713","980.21556886228"
"301","16","5.2336196767597","916.47604790419"
"179","18","4.3138907758219","765.76946107784"
"225","19","4.5658536777735","838.32634730539"
"67","20","2.7441610955704","662.2125748503"
"229","20","4.5172756932096","815.10179640719"
"259","25","4.3729520979118","814.73353293413"
"230","29","3.9875090558168","717.88023952096"
"249","29","4.1020209369405","758.34431137725"
"215","31","3.7939965392026","694.37125748503"
"40","32","1.3219280948874","539.81437125749"
"283","37","3.9352048772029","733.01796407186"
"184","38","3.2756344426134","637.94011976048"
"180","44","3.0324214776924","633.0628742515"
"96","50","1.9411063109464","514.74251497006"
"191","50","2.933572638261","623.79041916168"
"144","55","2.3885652879177","537.97904191617"
"194","66","2.5555187228287","560.54790419162"
"198","83","2.2543171887327","534.09580838323"
